,år,område,sektor,jobtype,numbers
226,2007,region-sjaelland,industri,byggeri,866
227,2007,region-sjaelland,industri,elektriker,626
228,2007,region-sjaelland,industri,industri,840
229,2007,region-sjaelland,industri,jern,1018
230,2007,region-sjaelland,industri,lager,953
231,2007,region-sjaelland,industri,landbrug,449
232,2007,region-sjaelland,industri,maling,177
233,2007,region-sjaelland,industri,mekanik,869
234,2007,region-sjaelland,industri,naeringsmiddel,532
235,2007,region-sjaelland,industri,tekstil,105
236,2007,region-sjaelland,industri,transport,1502
237,2007,region-sjaelland,industri,traeindustri,82
238,2007,region-sjaelland,industri,toemrer,476
239,2007,region-sjaelland,salg,design,47
240,2007,region-sjaelland,salg,ejendomsmaegler,70
241,2007,region-sjaelland,salg,grafisk,176
242,2007,region-sjaelland,salg,kommunikation,74
243,2007,region-sjaelland,salg,kultur,187
244,2007,region-sjaelland,salg,marketing,194
245,2007,region-sjaelland,salg,salg,1869
246,2007,region-sjaelland,salg,salgskurser,0
247,2007,region-sjaelland,salg,franchise,17
248,2007,region-sjaelland,salg,telemarketing,101
249,2007,region-sjaelland,undervisning,bibliotek,74
250,2007,region-sjaelland,undervisning,forskning,377
251,2007,region-sjaelland,undervisning,laerer,1581
252,2007,region-sjaelland,undervisning,paedagog,3706
253,2007,region-sjaelland,kontor,akademisk,0
254,2007,region-sjaelland,kontor,ejendomsmaegler,70
255,2007,region-sjaelland,kontor,ejendomsservice,233
256,2007,region-sjaelland,kontor,finans,610
257,2007,region-sjaelland,kontor,indkoeb,152
258,2007,region-sjaelland,kontor,jura,114
259,2007,region-sjaelland,kontor,kontor,1352
260,2007,region-sjaelland,kontor,kontorkurser,1
261,2007,region-sjaelland,kontor,kontorelev,118
262,2007,region-sjaelland,kontor,logistik,147
263,2007,region-sjaelland,kontor,offentlig,357
264,2007,region-sjaelland,kontor,oversaettelse,38
265,2007,region-sjaelland,kontor,sekretaer,494
266,2007,region-sjaelland,kontor,oekonomi,1227
267,2007,region-sjaelland,social,laege,587
268,2007,region-sjaelland,social,laegesekretaer,455
269,2007,region-sjaelland,social,pleje,2470
