,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
301,337,380597,1591,24824,institutions,ledelse,fyn,2007
302,433,380597,1591,24824,leder,ledelse,fyn,2007
303,124,380597,1591,24824,teknikledelse,ledelse,fyn,2007
304,149,380597,1591,24824,personale,ledelse,fyn,2007
305,214,380597,1591,24824,projektledelse,ledelse,fyn,2007
306,209,380597,1591,24824,salgschef,ledelse,fyn,2007
307,44,380597,1591,24824,topledelse,ledelse,fyn,2007
308,0,380597,1591,24824,virksomhedsudvikling,ledelse,fyn,2007
309,82,380597,1591,24824,oekonomichef,ledelse,fyn,2007
310,122,380597,5019,24824,bud,handel,fyn,2007
311,103,380597,5019,24824,boernepasning,handel,fyn,2007
312,2186,380597,5019,24824,detailhandel,handel,fyn,2007
313,107,380597,5019,24824,ejendomsservice,handel,fyn,2007
314,76,380597,5019,24824,frisoer,handel,fyn,2007
315,1148,380597,5019,24824,hotel,handel,fyn,2007
316,1116,380597,5019,24824,rengoering,handel,fyn,2007
317,301,380597,5019,24824,service,handel,fyn,2007
318,94,380597,5019,24824,sikkerhed,handel,fyn,2007
319,277,380597,4740,24824,blik,industri,fyn,2007
320,506,380597,4740,24824,byggeri,industri,fyn,2007
321,468,380597,4740,24824,elektriker,industri,fyn,2007
322,500,380597,4740,24824,industri,industri,fyn,2007
323,769,380597,4740,24824,jern,industri,fyn,2007
324,496,380597,4740,24824,lager,industri,fyn,2007
325,290,380597,4740,24824,landbrug,industri,fyn,2007
326,123,380597,4740,24824,maling,industri,fyn,2007
327,410,380597,4740,24824,mekanik,industri,fyn,2007
328,233,380597,4740,24824,naeringsmiddel,industri,fyn,2007
329,82,380597,4740,24824,tekstil,industri,fyn,2007
330,711,380597,4740,24824,transport,industri,fyn,2007
331,72,380597,4740,24824,traeindustri,industri,fyn,2007
332,276,380597,4740,24824,toemrer,industri,fyn,2007
333,33,380597,2261,24824,design,salg,fyn,2007
334,33,380597,2261,24824,ejendomsmaegler,salg,fyn,2007
335,143,380597,2261,24824,grafisk,salg,fyn,2007
336,96,380597,2261,24824,kommunikation,salg,fyn,2007
337,92,380597,2261,24824,kultur,salg,fyn,2007
338,188,380597,2261,24824,marketing,salg,fyn,2007
339,1396,380597,2261,24824,salg,salg,fyn,2007
340,0,380597,2261,24824,salgskurser,salg,fyn,2007
341,13,380597,2261,24824,franchise,salg,fyn,2007
342,161,380597,2261,24824,telemarketing,salg,fyn,2007
343,34,380597,4051,24824,bibliotek,undervisning,fyn,2007
344,752,380597,4051,24824,forskning,undervisning,fyn,2007
345,820,380597,4051,24824,laerer,undervisning,fyn,2007
346,2171,380597,4051,24824,paedagog,undervisning,fyn,2007
347,0,380597,3528,24824,akademisk,kontor,fyn,2007
348,33,380597,3528,24824,ejendomsmaegler,kontor,fyn,2007
349,107,380597,3528,24824,ejendomsservice,kontor,fyn,2007
350,408,380597,3528,24824,finans,kontor,fyn,2007
351,142,380597,3528,24824,indkoeb,kontor,fyn,2007
352,76,380597,3528,24824,jura,kontor,fyn,2007
353,1038,380597,3528,24824,kontor,kontor,fyn,2007
354,4,380597,3528,24824,kontorkurser,kontor,fyn,2007
355,83,380597,3528,24824,kontorelev,kontor,fyn,2007
356,178,380597,3528,24824,logistik,kontor,fyn,2007
357,360,380597,3528,24824,offentlig,kontor,fyn,2007
