,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
152,3,255002,1176,16754,salgskurser,salg,nordsjaelland,2014
153,7,255002,1176,16754,franchise,salg,nordsjaelland,2014
154,47,255002,1176,16754,telemarketing,salg,nordsjaelland,2014
155,47,255002,3481,16754,bibliotek,undervisning,nordsjaelland,2014
156,1051,255002,3481,16754,forskning,undervisning,nordsjaelland,2014
157,870,255002,3481,16754,laerer,undervisning,nordsjaelland,2014
158,1390,255002,3481,16754,paedagog,undervisning,nordsjaelland,2014
159,0,255002,2348,16754,akademisk,kontor,nordsjaelland,2014
160,54,255002,2348,16754,ejendomsmaegler,kontor,nordsjaelland,2014
161,80,255002,2348,16754,ejendomsservice,kontor,nordsjaelland,2014
162,289,255002,2348,16754,finans,kontor,nordsjaelland,2014
163,101,255002,2348,16754,indkoeb,kontor,nordsjaelland,2014
164,95,255002,2348,16754,jura,kontor,nordsjaelland,2014
165,549,255002,2348,16754,kontor,kontor,nordsjaelland,2014
166,8,255002,2348,16754,kontorkurser,kontor,nordsjaelland,2014
167,71,255002,2348,16754,kontorelev,kontor,nordsjaelland,2014
168,108,255002,2348,16754,logistik,kontor,nordsjaelland,2014
169,397,255002,2348,16754,offentlig,kontor,nordsjaelland,2014
170,38,255002,2348,16754,oversaettelse,kontor,nordsjaelland,2014
171,156,255002,2348,16754,sekretaer,kontor,nordsjaelland,2014
172,648,255002,2348,16754,oekonomi,kontor,nordsjaelland,2014
173,190,255002,3176,16754,laege,social,nordsjaelland,2014
174,76,255002,3176,16754,laegesekretaer,social,nordsjaelland,2014
175,1125,255002,3176,16754,pleje,social,nordsjaelland,2014
176,90,255002,3176,16754,psykologi,social,nordsjaelland,2014
177,341,255002,3176,16754,socialraadgivning,social,nordsjaelland,2014
178,138,255002,3176,16754,tandlaege,social,nordsjaelland,2014
179,24,255002,3176,16754,teknisksundhed,social,nordsjaelland,2014
180,243,255002,3176,16754,terapi,social,nordsjaelland,2014
181,251,255002,1796,16754,elev,oevrige,nordsjaelland,2014
182,0,255002,1796,16754,forsvar,oevrige,nordsjaelland,2014
183,460,255002,1796,16754,frivilligt,oevrige,nordsjaelland,2014
184,335,255002,1796,16754,student,oevrige,nordsjaelland,2014
185,106,255002,1796,16754,studiepraktik,oevrige,nordsjaelland,2014
186,576,255002,1796,16754,oevrige,oevrige,nordsjaelland,2014
187,3,255002,1796,16754,kurseroevrige,oevrige,nordsjaelland,2014
188,29,255002,647,23507,database,it,region-sjaelland,2014
189,201,255002,647,23507,itdrift,it,region-sjaelland,2014
190,1,255002,647,23507,itkurser,it,region-sjaelland,2014
191,54,255002,647,23507,itledelse,it,region-sjaelland,2014
192,56,255002,647,23507,internet,it,region-sjaelland,2014
193,341,255002,647,23507,systemudvikling,it,region-sjaelland,2014
194,11,255002,647,23507,telekom,it,region-sjaelland,2014
195,63,255002,647,23507,virksomhedssystemer,it,region-sjaelland,2014
196,423,255002,2005,23507,byggeteknik,ingenioer,region-sjaelland,2014
197,209,255002,2005,23507,elektronik,ingenioer,region-sjaelland,2014
198,576,255002,2005,23507,kemi,ingenioer,region-sjaelland,2014
199,206,255002,2005,23507,teknikledelse,ingenioer,region-sjaelland,2014
200,395,255002,2005,23507,maskiningenioer,ingenioer,region-sjaelland,2014
201,349,255002,2005,23507,medicinal,ingenioer,region-sjaelland,2014
202,516,255002,2005,23507,produktionsteknik,ingenioer,region-sjaelland,2014
203,0,255002,1848,23507,detailledelse,ledelse,region-sjaelland,2014
204,58,255002,1848,23507,freelancekonsulent,ledelse,region-sjaelland,2014
205,24,255002,1848,23507,hrkurser,ledelse,region-sjaelland,2014
206,54,255002,1848,23507,itledelse,ledelse,region-sjaelland,2014
207,342,255002,1848,23507,institutions,ledelse,region-sjaelland,2014
208,566,255002,1848,23507,leder,ledelse,region-sjaelland,2014
209,206,255002,1848,23507,teknikledelse,ledelse,region-sjaelland,2014
210,150,255002,1848,23507,personale,ledelse,region-sjaelland,2014
211,415,255002,1848,23507,projektledelse,ledelse,region-sjaelland,2014
212,98,255002,1848,23507,salgschef,ledelse,region-sjaelland,2014
213,29,255002,1848,23507,topledelse,ledelse,region-sjaelland,2014
214,0,255002,1848,23507,virksomhedsudvikling,ledelse,region-sjaelland,2014
215,40,255002,1848,23507,oekonomichef,ledelse,region-sjaelland,2014
216,34,255002,3335,23507,bud,handel,region-sjaelland,2014
217,33,255002,3335,23507,boernepasning,handel,region-sjaelland,2014
218,1650,255002,3335,23507,detailhandel,handel,region-sjaelland,2014
219,84,255002,3335,23507,ejendomsservice,handel,region-sjaelland,2014
220,104,255002,3335,23507,frisoer,handel,region-sjaelland,2014
221,751,255002,3335,23507,hotel,handel,region-sjaelland,2014
222,457,255002,3335,23507,rengoering,handel,region-sjaelland,2014
223,249,255002,3335,23507,service,handel,region-sjaelland,2014
224,95,255002,3335,23507,sikkerhed,handel,region-sjaelland,2014
225,176,255002,2708,23507,blik,industri,region-sjaelland,2014
226,330,255002,2708,23507,byggeri,industri,region-sjaelland,2014
227,314,255002,2708,23507,elektriker,industri,region-sjaelland,2014
228,248,255002,2708,23507,industri,industri,region-sjaelland,2014
229,250,255002,2708,23507,jern,industri,region-sjaelland,2014
230,256,255002,2708,23507,lager,industri,region-sjaelland,2014
231,171,255002,2708,23507,landbrug,industri,region-sjaelland,2014
232,54,255002,2708,23507,maling,industri,region-sjaelland,2014
233,306,255002,2708,23507,mekanik,industri,region-sjaelland,2014
234,203,255002,2708,23507,naeringsmiddel,industri,region-sjaelland,2014
235,28,255002,2708,23507,tekstil,industri,region-sjaelland,2014
236,446,255002,2708,23507,transport,industri,region-sjaelland,2014
237,45,255002,2708,23507,traeindustri,industri,region-sjaelland,2014
238,173,255002,2708,23507,toemrer,industri,region-sjaelland,2014
239,16,255002,2049,23507,design,salg,region-sjaelland,2014
240,76,255002,2049,23507,ejendomsmaegler,salg,region-sjaelland,2014
241,33,255002,2049,23507,grafisk,salg,region-sjaelland,2014
242,141,255002,2049,23507,kommunikation,salg,region-sjaelland,2014
243,137,255002,2049,23507,kultur,salg,region-sjaelland,2014
244,149,255002,2049,23507,marketing,salg,region-sjaelland,2014
245,1356,255002,2049,23507,salg,salg,region-sjaelland,2014
246,12,255002,2049,23507,salgskurser,salg,region-sjaelland,2014
247,20,255002,2049,23507,franchise,salg,region-sjaelland,2014
248,78,255002,2049,23507,telemarketing,salg,region-sjaelland,2014
249,40,255002,4534,23507,bibliotek,undervisning,region-sjaelland,2014
250,421,255002,4534,23507,forskning,undervisning,region-sjaelland,2014
251,1929,255002,4534,23507,laerer,undervisning,region-sjaelland,2014
252,1884,255002,4534,23507,paedagog,undervisning,region-sjaelland,2014
253,0,255002,2733,23507,akademisk,kontor,region-sjaelland,2014
254,76,255002,2733,23507,ejendomsmaegler,kontor,region-sjaelland,2014
255,84,255002,2733,23507,ejendomsservice,kontor,region-sjaelland,2014
256,249,255002,2733,23507,finans,kontor,region-sjaelland,2014
257,95,255002,2733,23507,indkoeb,kontor,region-sjaelland,2014
258,80,255002,2733,23507,jura,kontor,region-sjaelland,2014
259,772,255002,2733,23507,kontor,kontor,region-sjaelland,2014
260,1,255002,2733,23507,kontorkurser,kontor,region-sjaelland,2014
261,147,255002,2733,23507,kontorelev,kontor,region-sjaelland,2014
262,138,255002,2733,23507,logistik,kontor,region-sjaelland,2014
263,385,255002,2733,23507,offentlig,kontor,region-sjaelland,2014
264,35,255002,2733,23507,oversaettelse,kontor,region-sjaelland,2014
265,221,255002,2733,23507,sekretaer,kontor,region-sjaelland,2014
266,648,255002,2733,23507,oekonomi,kontor,region-sjaelland,2014
267,797,255002,5948,23507,laege,social,region-sjaelland,2014
268,333,255002,5948,23507,laegesekretaer,social,region-sjaelland,2014
269,1559,255002,5948,23507,pleje,social,region-sjaelland,2014
270,234,255002,5948,23507,psykologi,social,region-sjaelland,2014
271,381,255002,5948,23507,socialraadgivning,social,region-sjaelland,2014
272,144,255002,5948,23507,tandlaege,social,region-sjaelland,2014
273,65,255002,5948,23507,teknisksundhed,social,region-sjaelland,2014
274,453,255002,5948,23507,terapi,social,region-sjaelland,2014
275,402,255002,2268,23507,elev,oevrige,region-sjaelland,2014
276,0,255002,2268,23507,forsvar,oevrige,region-sjaelland,2014
277,525,255002,2268,23507,frivilligt,oevrige,region-sjaelland,2014
278,297,255002,2268,23507,student,oevrige,region-sjaelland,2014
279,151,255002,2268,23507,studiepraktik,oevrige,region-sjaelland,2014
280,761,255002,2268,23507,oevrige,oevrige,region-sjaelland,2014
281,4,255002,2268,23507,kurseroevrige,oevrige,region-sjaelland,2014
282,26,255002,626,15560,database,it,fyn,2014
283,175,255002,626,15560,itdrift,it,fyn,2014
284,1,255002,626,15560,itkurser,it,fyn,2014
285,64,255002,626,15560,itledelse,it,fyn,2014
286,75,255002,626,15560,internet,it,fyn,2014
287,342,255002,626,15560,systemudvikling,it,fyn,2014
288,16,255002,626,15560,telekom,it,fyn,2014
289,82,255002,626,15560,virksomhedssystemer,it,fyn,2014
290,282,255002,1045,15560,byggeteknik,ingenioer,fyn,2014
291,159,255002,1045,15560,elektronik,ingenioer,fyn,2014
292,162,255002,1045,15560,kemi,ingenioer,fyn,2014
293,116,255002,1045,15560,teknikledelse,ingenioer,fyn,2014
294,313,255002,1045,15560,maskiningenioer,ingenioer,fyn,2014
295,119,255002,1045,15560,medicinal,ingenioer,fyn,2014
296,209,255002,1045,15560,produktionsteknik,ingenioer,fyn,2014
297,0,255002,1408,15560,detailledelse,ledelse,fyn,2014
298,40,255002,1408,15560,freelancekonsulent,ledelse,fyn,2014
299,12,255002,1408,15560,hrkurser,ledelse,fyn,2014
300,64,255002,1408,15560,itledelse,ledelse,fyn,2014
301,167,255002,1408,15560,institutions,ledelse,fyn,2014
302,430,255002,1408,15560,leder,ledelse,fyn,2014
303,116,255002,1408,15560,teknikledelse,ledelse,fyn,2014
304,108,255002,1408,15560,personale,ledelse,fyn,2014
305,380,255002,1408,15560,projektledelse,ledelse,fyn,2014
306,141,255002,1408,15560,salgschef,ledelse,fyn,2014
307,36,255002,1408,15560,topledelse,ledelse,fyn,2014
308,0,255002,1408,15560,virksomhedsudvikling,ledelse,fyn,2014
309,50,255002,1408,15560,oekonomichef,ledelse,fyn,2014
310,15,255002,2436,15560,bud,handel,fyn,2014
311,27,255002,2436,15560,boernepasning,handel,fyn,2014
312,985,255002,2436,15560,detailhandel,handel,fyn,2014
313,65,255002,2436,15560,ejendomsservice,handel,fyn,2014
314,63,255002,2436,15560,frisoer,handel,fyn,2014
315,682,255002,2436,15560,hotel,handel,fyn,2014
316,525,255002,2436,15560,rengoering,handel,fyn,2014
317,138,255002,2436,15560,service,handel,fyn,2014
318,32,255002,2436,15560,sikkerhed,handel,fyn,2014
