,year,area,sektor,jobtype,n_jobtype_area_,n_sektor_area,n_area,n_year
235,2007,region-sjaelland,industri,tekstil,105,8159,38163,380597
236,2007,region-sjaelland,industri,transport,1502,8159,38163,380597
237,2007,region-sjaelland,industri,traeindustri,82,8159,38163,380597
238,2007,region-sjaelland,industri,toemrer,476,8159,38163,380597
239,2007,region-sjaelland,salg,design,47,2907,38163,380597
241,2007,region-sjaelland,salg,grafisk,176,2907,38163,380597
242,2007,region-sjaelland,salg,kommunikation,74,2907,38163,380597
243,2007,region-sjaelland,salg,kultur,187,2907,38163,380597
244,2007,region-sjaelland,salg,marketing,194,2907,38163,380597
245,2007,region-sjaelland,salg,salg,1869,2907,38163,380597
246,2007,region-sjaelland,salg,salgskurser,0,2907,38163,380597
247,2007,region-sjaelland,salg,franchise,17,2907,38163,380597
248,2007,region-sjaelland,salg,telemarketing,101,2907,38163,380597
249,2007,region-sjaelland,undervisning,bibliotek,74,6133,38163,380597
250,2007,region-sjaelland,undervisning,forskning,377,6133,38163,380597
251,2007,region-sjaelland,undervisning,laerer,1581,6133,38163,380597
252,2007,region-sjaelland,undervisning,paedagog,3706,6133,38163,380597
253,2007,region-sjaelland,kontor,akademisk,0,4614,38163,380597
254,2007,region-sjaelland,kontor,ejendomsmaegler,70,4614,38163,380597
255,2007,region-sjaelland,kontor,ejendomsservice,233,4614,38163,380597
256,2007,region-sjaelland,kontor,finans,610,4614,38163,380597
257,2007,region-sjaelland,kontor,indkoeb,152,4614,38163,380597
258,2007,region-sjaelland,kontor,jura,114,4614,38163,380597
259,2007,region-sjaelland,kontor,kontor,1352,4614,38163,380597
260,2007,region-sjaelland,kontor,kontorkurser,1,4614,38163,380597
261,2007,region-sjaelland,kontor,kontorelev,118,4614,38163,380597
262,2007,region-sjaelland,kontor,logistik,147,4614,38163,380597
263,2007,region-sjaelland,kontor,offentlig,357,4614,38163,380597
264,2007,region-sjaelland,kontor,oversaettelse,38,4614,38163,380597
265,2007,region-sjaelland,kontor,sekretaer,494,4614,38163,380597
266,2007,region-sjaelland,kontor,oekonomi,1227,4614,38163,380597
267,2007,region-sjaelland,social,laege,587,6491,38163,380597
268,2007,region-sjaelland,social,laegesekretaer,455,6491,38163,380597
269,2007,region-sjaelland,social,pleje,2470,6491,38163,380597
270,2007,region-sjaelland,social,psykologi,231,6491,38163,380597
271,2007,region-sjaelland,social,socialraadgivning,367,6491,38163,380597
272,2007,region-sjaelland,social,tandlaege,216,6491,38163,380597
273,2007,region-sjaelland,social,teknisksundhed,101,6491,38163,380597
274,2007,region-sjaelland,social,terapi,326,6491,38163,380597
275,2007,region-sjaelland,oevrige,elev,802,2634,38163,380597
276,2007,region-sjaelland,oevrige,forsvar,0,2634,38163,380597
277,2007,region-sjaelland,oevrige,frivilligt,48,2634,38163,380597
278,2007,region-sjaelland,oevrige,student,307,2634,38163,380597
279,2007,region-sjaelland,oevrige,studiepraktik,2,2634,38163,380597
280,2007,region-sjaelland,oevrige,oevrige,1378,2634,38163,380597
281,2007,region-sjaelland,oevrige,kurseroevrige,2,2634,38163,380597
282,2007,fyn,it,database,15,748,24824,380597
283,2007,fyn,it,itdrift,239,748,24824,380597
284,2007,fyn,it,itkurser,1,748,24824,380597
286,2007,fyn,it,internet,57,748,24824,380597
287,2007,fyn,it,systemudvikling,386,748,24824,380597
288,2007,fyn,it,telekom,39,748,24824,380597
289,2007,fyn,it,virksomhedssystemer,75,748,24824,380597
290,2007,fyn,ingenioer,byggeteknik,525,1523,24824,380597
291,2007,fyn,ingenioer,elektronik,241,1523,24824,380597
292,2007,fyn,ingenioer,kemi,207,1523,24824,380597
294,2007,fyn,ingenioer,maskiningenioer,331,1523,24824,380597
295,2007,fyn,ingenioer,medicinal,112,1523,24824,380597
296,2007,fyn,ingenioer,produktionsteknik,272,1523,24824,380597
297,2007,fyn,ledelse,detailledelse,0,1591,24824,380597
298,2007,fyn,ledelse,freelancekonsulent,23,1591,24824,380597
299,2007,fyn,ledelse,hrkurser,5,1591,24824,380597
300,2007,fyn,ledelse,itledelse,70,1591,24824,380597
301,2007,fyn,ledelse,institutions,337,1591,24824,380597
302,2007,fyn,ledelse,leder,433,1591,24824,380597
303,2007,fyn,ledelse,teknikledelse,124,1591,24824,380597
304,2007,fyn,ledelse,personale,149,1591,24824,380597
305,2007,fyn,ledelse,projektledelse,214,1591,24824,380597
306,2007,fyn,ledelse,salgschef,209,1591,24824,380597
307,2007,fyn,ledelse,topledelse,44,1591,24824,380597
308,2007,fyn,ledelse,virksomhedsudvikling,0,1591,24824,380597
309,2007,fyn,ledelse,oekonomichef,82,1591,24824,380597
310,2007,fyn,handel,bud,122,5019,24824,380597
311,2007,fyn,handel,boernepasning,103,5019,24824,380597
312,2007,fyn,handel,detailhandel,2186,5019,24824,380597
314,2007,fyn,handel,frisoer,76,5019,24824,380597
315,2007,fyn,handel,hotel,1148,5019,24824,380597
316,2007,fyn,handel,rengoering,1116,5019,24824,380597
317,2007,fyn,handel,service,301,5019,24824,380597
318,2007,fyn,handel,sikkerhed,94,5019,24824,380597
319,2007,fyn,industri,blik,277,4740,24824,380597
320,2007,fyn,industri,byggeri,506,4740,24824,380597
321,2007,fyn,industri,elektriker,468,4740,24824,380597
322,2007,fyn,industri,industri,500,4740,24824,380597
323,2007,fyn,industri,jern,769,4740,24824,380597
324,2007,fyn,industri,lager,496,4740,24824,380597
325,2007,fyn,industri,landbrug,290,4740,24824,380597
326,2007,fyn,industri,maling,123,4740,24824,380597
327,2007,fyn,industri,mekanik,410,4740,24824,380597
328,2007,fyn,industri,naeringsmiddel,233,4740,24824,380597
329,2007,fyn,industri,tekstil,82,4740,24824,380597
330,2007,fyn,industri,transport,711,4740,24824,380597
331,2007,fyn,industri,traeindustri,72,4740,24824,380597
332,2007,fyn,industri,toemrer,276,4740,24824,380597
333,2007,fyn,salg,design,33,2261,24824,380597
335,2007,fyn,salg,grafisk,143,2261,24824,380597
336,2007,fyn,salg,kommunikation,96,2261,24824,380597
337,2007,fyn,salg,kultur,92,2261,24824,380597
338,2007,fyn,salg,marketing,188,2261,24824,380597
339,2007,fyn,salg,salg,1396,2261,24824,380597
340,2007,fyn,salg,salgskurser,0,2261,24824,380597
341,2007,fyn,salg,franchise,13,2261,24824,380597
342,2007,fyn,salg,telemarketing,161,2261,24824,380597
343,2007,fyn,undervisning,bibliotek,34,4051,24824,380597
344,2007,fyn,undervisning,forskning,752,4051,24824,380597
345,2007,fyn,undervisning,laerer,820,4051,24824,380597
346,2007,fyn,undervisning,paedagog,2171,4051,24824,380597
347,2007,fyn,kontor,akademisk,0,3528,24824,380597
348,2007,fyn,kontor,ejendomsmaegler,33,3528,24824,380597
349,2007,fyn,kontor,ejendomsservice,107,3528,24824,380597
350,2007,fyn,kontor,finans,408,3528,24824,380597
351,2007,fyn,kontor,indkoeb,142,3528,24824,380597
352,2007,fyn,kontor,jura,76,3528,24824,380597
353,2007,fyn,kontor,kontor,1038,3528,24824,380597
354,2007,fyn,kontor,kontorkurser,4,3528,24824,380597
355,2007,fyn,kontor,kontorelev,83,3528,24824,380597
356,2007,fyn,kontor,logistik,178,3528,24824,380597
357,2007,fyn,kontor,offentlig,360,3528,24824,380597
358,2007,fyn,kontor,oversaettelse,33,3528,24824,380597
359,2007,fyn,kontor,sekretaer,415,3528,24824,380597
360,2007,fyn,kontor,oekonomi,856,3528,24824,380597
361,2007,fyn,social,laege,425,4462,24824,380597
362,2007,fyn,social,laegesekretaer,268,4462,24824,380597
363,2007,fyn,social,pleje,1619,4462,24824,380597
364,2007,fyn,social,psykologi,150,4462,24824,380597
365,2007,fyn,social,socialraadgivning,371,4462,24824,380597
366,2007,fyn,social,tandlaege,115,4462,24824,380597
367,2007,fyn,social,teknisksundhed,59,4462,24824,380597
368,2007,fyn,social,terapi,262,4462,24824,380597
369,2007,fyn,oevrige,elev,509,1529,24824,380597
370,2007,fyn,oevrige,forsvar,0,1529,24824,380597
371,2007,fyn,oevrige,frivilligt,33,1529,24824,380597
372,2007,fyn,oevrige,student,192,1529,24824,380597
373,2007,fyn,oevrige,studiepraktik,3,1529,24824,380597
374,2007,fyn,oevrige,oevrige,716,1529,24824,380597
375,2007,fyn,oevrige,kurseroevrige,10,1529,24824,380597
376,2007,region-nordjylland,it,database,26,1053,26736,380597
377,2007,region-nordjylland,it,itdrift,258,1053,26736,380597
378,2007,region-nordjylland,it,itkurser,1,1053,26736,380597
380,2007,region-nordjylland,it,internet,50,1053,26736,380597
381,2007,region-nordjylland,it,systemudvikling,602,1053,26736,380597
382,2007,region-nordjylland,it,telekom,93,1053,26736,380597
383,2007,region-nordjylland,it,virksomhedssystemer,131,1053,26736,380597
384,2007,region-nordjylland,ingenioer,byggeteknik,511,1690,26736,380597
385,2007,region-nordjylland,ingenioer,elektronik,258,1690,26736,380597
386,2007,region-nordjylland,ingenioer,kemi,182,1690,26736,380597
388,2007,region-nordjylland,ingenioer,maskiningenioer,461,1690,26736,380597
389,2007,region-nordjylland,ingenioer,medicinal,102,1690,26736,380597
390,2007,region-nordjylland,ingenioer,produktionsteknik,372,1690,26736,380597
391,2007,region-nordjylland,ledelse,detailledelse,0,1929,26736,380597
392,2007,region-nordjylland,ledelse,freelancekonsulent,54,1929,26736,380597
393,2007,region-nordjylland,ledelse,hrkurser,0,1929,26736,380597
394,2007,region-nordjylland,ledelse,itledelse,84,1929,26736,380597
395,2007,region-nordjylland,ledelse,institutions,406,1929,26736,380597
396,2007,region-nordjylland,ledelse,leder,497,1929,26736,380597
397,2007,region-nordjylland,ledelse,teknikledelse,152,1929,26736,380597
398,2007,region-nordjylland,ledelse,personale,184,1929,26736,380597
399,2007,region-nordjylland,ledelse,projektledelse,362,1929,26736,380597
400,2007,region-nordjylland,ledelse,salgschef,176,1929,26736,380597
401,2007,region-nordjylland,ledelse,topledelse,25,1929,26736,380597
402,2007,region-nordjylland,ledelse,virksomhedsudvikling,0,1929,26736,380597
403,2007,region-nordjylland,ledelse,oekonomichef,88,1929,26736,380597
404,2007,region-nordjylland,handel,bud,100,6210,26736,380597
405,2007,region-nordjylland,handel,boernepasning,173,6210,26736,380597
406,2007,region-nordjylland,handel,detailhandel,2503,6210,26736,380597
408,2007,region-nordjylland,handel,frisoer,74,6210,26736,380597
409,2007,region-nordjylland,handel,hotel,1608,6210,26736,380597
410,2007,region-nordjylland,handel,rengoering,1514,6210,26736,380597
411,2007,region-nordjylland,handel,service,315,6210,26736,380597
412,2007,region-nordjylland,handel,sikkerhed,80,6210,26736,380597
413,2007,region-nordjylland,industri,blik,288,5622,26736,380597
414,2007,region-nordjylland,industri,byggeri,522,5622,26736,380597
415,2007,region-nordjylland,industri,elektriker,582,5622,26736,380597
416,2007,region-nordjylland,industri,industri,629,5622,26736,380597
417,2007,region-nordjylland,industri,jern,1010,5622,26736,380597
418,2007,region-nordjylland,industri,lager,528,5622,26736,380597
419,2007,region-nordjylland,industri,landbrug,245,5622,26736,380597
420,2007,region-nordjylland,industri,maling,147,5622,26736,380597
421,2007,region-nordjylland,industri,mekanik,496,5622,26736,380597
422,2007,region-nordjylland,industri,naeringsmiddel,440,5622,26736,380597
423,2007,region-nordjylland,industri,tekstil,85,5622,26736,380597
424,2007,region-nordjylland,industri,transport,719,5622,26736,380597
425,2007,region-nordjylland,industri,traeindustri,117,5622,26736,380597
426,2007,region-nordjylland,industri,toemrer,320,5622,26736,380597
427,2007,region-nordjylland,salg,design,37,2155,26736,380597
429,2007,region-nordjylland,salg,grafisk,144,2155,26736,380597
430,2007,region-nordjylland,salg,kommunikation,65,2155,26736,380597
431,2007,region-nordjylland,salg,kultur,107,2155,26736,380597
432,2007,region-nordjylland,salg,marketing,170,2155,26736,380597
433,2007,region-nordjylland,salg,salg,1423,2155,26736,380597
434,2007,region-nordjylland,salg,salgskurser,0,2155,26736,380597
435,2007,region-nordjylland,salg,franchise,11,2155,26736,380597
436,2007,region-nordjylland,salg,telemarketing,104,2155,26736,380597
437,2007,region-nordjylland,undervisning,bibliotek,17,3175,26736,380597
438,2007,region-nordjylland,undervisning,forskning,197,3175,26736,380597
439,2007,region-nordjylland,undervisning,laerer,739,3175,26736,380597
440,2007,region-nordjylland,undervisning,paedagog,1852,3175,26736,380597
441,2007,region-nordjylland,kontor,akademisk,0,3384,26736,380597
442,2007,region-nordjylland,kontor,ejendomsmaegler,22,3384,26736,380597
443,2007,region-nordjylland,kontor,ejendomsservice,110,3384,26736,380597
444,2007,region-nordjylland,kontor,finans,365,3384,26736,380597
445,2007,region-nordjylland,kontor,indkoeb,161,3384,26736,380597
